投诉编号,投诉品牌,投诉车系,投诉车型,投诉简述,投诉问题,问题类型,投诉日期
20240429145554505552,深蓝汽车,深蓝S7,2023款 121Max增程版,2024年1月1日在深蓝汽车交付中心提交了一辆深蓝S7车辆订单，选配21寸轮毂（配备马牌轮胎），选配费用6000元，车辆下定后开始生产，于1月28日在昌吉市完成交车，截至目前车辆行驶里程2094KM。多次出现胎压警报，近期检查，发现车辆轮胎为2023年5月生产，多次与951998客服沟通，说属于正常现象。但我所购买的车辆生产日期为2024年的1月8日左右，匹配的轮胎是2023年5月份，且轮毂及轮胎是我花6000元的选配件，并未告知轮胎生产日期，仅告知车辆是2024年1月份生产的，涉嫌故意隐瞒配件生产日期，并且轮胎属于橡胶制品及易损品具有一定的使用年限，根据《中华人民共和国消费者权益保护法》第八条规定，第二十四条规定，我已明确告知深蓝官方客服要求更换为2024年生产或一个月以内的生产日期，但一直不给解决。 诉求：根据《中华人民共和国消费者权益保护法》第五十五条规定，请求深蓝汽车官方更换4条21寸马牌轮胎，并作出赔偿。,轮胎和车轮,胎压异常,2024-04-29
20240429145554505048,领克,领克05,2020款 2.0TD 四驱劲Halo,车辆去年12月份在4S点刚做过保养，保养后行使不到3000公里，现在过减速带、走颠簸路段时，底盘有异响，到4S店检查，店内的技术人员对底盘进行查看，底盘无碰撞，底盘护板完好，但是左前半轴防尘套断裂、漏油，导致间隙变大，造成行车中有异响，车辆还在质保期内，领克厂家缺以人为因素造成防尘套破裂为由，拒绝质保。而且要求半轴整体更换，要求我自费维修。对此，我认为这个位置失分靠近中央位置，在有护板保护而且底盘未有碰撞的情况下，不可能是人为原因导致的，厂家拒保违反《中华人民共和国消费者权益保护法》。,传动系,异响,2024-04-29
20240429144699545352,大众,ID.6 X,2022款 智享纯净长续航版,出现故障后，尽管提供了代步车，但配件长时间缺，还不知什么时候有，要求尽快解决，不能只卖车不管我用车。,电气设备,中控黑屏,2024-04-29
20240429144057981025,哈弗,哈弗二代大狗新能源,2023款 DHT-PHEV 105km 潮电版,就4s店打了个电话来问情况，什么也没解决，真是店大欺人。破裂的怎么处理？怎么就给我处理完了？！！车质网你们的监督太敷衍了吧！,车身,部件开裂,2024-04-29
20240429135850555650,埃安,AION V,2022款 Plus 70 智享科技版 三元锂,AB柱长期异响，不能彻底解决问题,车身,异响,2024-04-29
20240429133751484855,别克,凯越,2013款 1.5L 自动尊享型,汽车内饰仪表台左右两侧都已经裂开了,车身,部件开裂,2024-04-29
20240429132050525452,长安欧尚,长安欧尚X7,2020款 1.5T 自动旗舰型,同一个地方2次漏水，修都没有修好，这不换，那不换，售后都说是设计问题，不知道怎么解决,车身,漏水,2024-04-29
20240429131557555710,比亚迪,汉,2024款 DM-i 荣耀版 121KM 尊贵型,欺骗到店看车，欺骗提车时间，制式合同合同只标注对店家不退定金的事，承诺的事一字不写合同上面,承诺不兑现,定（订）金纠纷,2024-04-29
20240429130997511005,捷豹,捷豹I-PACE,2018款 EV400 HSE,车辆于快车道高速行驶过程中失去动力，险被后车追尾，后拖至4s店维修结果为2个12v蓄电池故障，需更换蓄电池。电池故障原因和车辆失去动力原因经销商无法解释，同时认定故障不属于“三电系统”，故不予以保修。 根据4s检测结果，我认为车辆存在设计缺陷，存在极大安全隐患。 要求厂方查明2个蓄电池同时无预警失效的原因，以及召回车辆解决行驶过程中失去动力的安全隐患。,动力电池及电源管理系统,行驶中动力消失,2024-04-29
20240429130299975155,吉利汽车,星越L,2022款 1.5T 雷神Hi·F油电混动版 Super迅,22 年 10 月份 车子刚提加装氛围灯跟贴膜时拆过门板，音响是 24 年 4 月 29 日破音的。s4 店不给跟换说自己人为造成的。音响是 Bose 的 纸盆材料坏的哪里是泡沫材质的质量非常差,电气设备,其他,2024-04-29
